"cluster_code","province","division","district","n_hh","n_hh_child","n_children"
"1","AJK","Mirpur","Bhimber",7,4,14
"100","AJK","Poonch","Bagh",6,6,16
"101","AJK","Poonch","Bagh",6,6,17
"102","AJK","Poonch","Bagh",6,6,13
"106","AJK","Poonch","Bagh",6,5,10
"107","AJK","Poonch","Bagh",6,6,23
"108","AJK","Poonch","Bagh",6,5,12
"109","AJK","Poonch","Bagh",6,5,11
"110","AJK","Poonch","Haveli",6,5,16
"113","AJK","Poonch","Haveli",6,3,6
"114","AJK","Poonch","Haveli",6,4,9
"115","AJK","Poonch","Haveli",6,3,12
"116","AJK","Poonch","Haveli",6,3,8
"118","AJK","Poonch","Poonch",1,1,6
"12","AJK","Mirpur","Kotli",1,1,5
"125","AJK","Poonch","Poonch",5,2,5
"126","AJK","Poonch","Poonch",5,4,8
"127","AJK","Poonch","Poonch",6,6,15
"130","AJK","Poonch","Poonch",5,5,13
"131","AJK","Poonch","Poonch",6,6,11
"132","AJK","Poonch","Poonch",4,4,12
"133","AJK","Poonch","Poonch",5,3,8
"134","AJK","Poonch","Poonch",3,3,9
"136","AJK","Poonch","Sudhnooti",6,4,9
"137","AJK","Poonch","Sudhnooti",6,6,17
"138","AJK","Poonch","Sudhnooti",6,4,11
"140","AJK","Poonch","Sudhnooti",6,5,15
"142","AJK","Poonch","Sudhnooti",6,5,14
"143","AJK","Poonch","Sudhnooti",6,6,19
"144","AJK","Poonch","Sudhnooti",7,3,7
"148","Balochistan","Kalat","KALAT",6,4,15
"154","Balochistan","Kalat","Khuzdar",4,4,14
"155","Balochistan","Kalat","Khuzdar",6,6,19
"156","Balochistan","Kalat","Khuzdar",5,4,15
"157","Balochistan","Kalat","Khuzdar",4,3,12
"159","Balochistan","Kalat","Khuzdar",6,6,19
"16","AJK","Mirpur","Kotli",6,4,13
"160","Balochistan","Kalat","Khuzdar",6,5,28
"161","Balochistan","Kalat","Khuzdar",6,6,19
"164","Balochistan","Kalat","Khuzdar",6,6,37
"167","Balochistan","Kalat","Khuzdar",6,6,32
"186","Balochistan","Kalat","Mastung",6,6,30
"187","Balochistan","Kalat","Mastung",5,4,19
"19","AJK","Mirpur","Kotli",5,5,16
"2","AJK","Mirpur","Bhimber",6,5,12
"20","AJK","Mirpur","Kotli",4,4,20
"21","AJK","Mirpur","Kotli",6,5,14
"221","Balochistan","Makran","Kech",1,1,1
"225","Balochistan","Makran","Kech",6,6,10
"226","Balochistan","Makran","Kech",5,5,14
"229","Balochistan","Makran","Kech",6,6,14
"230","Balochistan","Makran","Kech",3,3,8
"231","Balochistan","Makran","Kech",6,6,12
